Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
0,0,28499,29794,22829,23027,21658,22178,21118,37852,23587,12990,11915,11997,15357,19208,37656,12954,22168,17082,22816,17492,19994,17532,18462,22104,20831,2105,6120,8568,4551,4408,4131,3436,26082,2561,17681,7933,2917,2781,8122,10330,3684,8138,4109,3766,5506,5318,867,8258,10009,8323,14145,6516,9144,4819,16158,14934,15156,15674,13608,14224,12909,10790,14360,20549,4267,16567,5189,9483,9282,4088,3271,4420,21448,13227,16759,21441,19932,10829,2405,25219,9977,17301,19315,18533,2345,10004,13396,20526,4428,29179,13870,17641,15052,6997,8571,12377,18971,5913,17133,37780,2947,3385,17057,15067,16347,2717,10706,3502,3054,4754,2499,3589
1,23758,0,1335,13079,13277,4424,12427,11367,18560,688,17440,12241,12395,14415,5390,9196,17405,12848,12776,15457,13186,9908,10062,11781,10108,13472,21654,18580,30428,23934,23792,24042,23348,11563,23811,13142,27776,22301,21479,24482,33130,23737,27757,24614,23150,28576,20539,22891,31057,33449,24449,15311,29585,28986,20220,15640,14417,8626,17360,13091,13706,12391,19286,13843,38696,28616,38427,26671,20727,14476,23471,22655,23805,44517,19423,16231,12200,8668,14159,24223,15468,33077,34168,4794,32055,23912,33444,36376,43596,23813,719,35731,8184,10135,31805,28413,35476,10636,21315,8940,9320,20705,23641,8864,14549,15829,24187,19130,23414,21069,24138,24383,23500
2,25053,1332,0,14373,14572,5719,13722,12662,19503,1982,18735,13536,13690,15710,6685,10140,18700,14143,14071,16752,14480,11203,11356,13076,11402,14767,22948,19874,31723,25229,25087,25337,24643,13983,25106,14436,29071,23596,22774,25777,34424,25031,29051,25908,24444,29871,21834,24186,32352,34744,25744,16606,30879,30281,21514,16934,15712,9920,18655,14385,15000,13686,20581,15138,39990,29910,39722,27965,22021,15771,24766,23949,25100,45812,20718,17525,13494,9962,15453,25517,16763,34371,35462,6089,33350,25207,34739,37671,44890,25108,616,37025,9478,11429,33100,29708,36771,11930,22610,10235,10264,21999,24935,10159,15843,17124,25481,20424,24709,22363,25432,25678,24795
3,22837,10670,11965,0,193,6147,1301,1775,16671,10735,8960,11321,11475,7367,6097,13076,8925,18300,13214,18947,13624,12003,12158,14594,16054,16962,20734,17659,29508,19805,19985,23123,22428,5435,22891,13579,26856,21381,20560,23563,32210,22817,22811,23694,22229,27656,16722,21971,30138,32529,23529,8264,28665,28067,19300,14720,13496,8189,16440,12171,12786,11471,10806,12922,37775,27695,37507,25750,12247,13556,20161,21735,19908,43597,18503,15311,17573,13882,13239,23303,2384,32157,33247,8696,31136,22992,32524,35455,42676,22892,11349,34811,9247,9697,30885,27493,34556,5690,16092,9888,13200,19785,22720,9811,13629,14909,23267,14184,22494,20149,19495,23462,22580
4,23035,10868,12163,193,0,6345,1499,1973,16477,10933,9159,11519,11674,7566,6295,12882,9123,18497,13411,19146,13822,12202,12355,14792,16252,17160,20932,17857,29707,20003,20184,23321,22626,5243,23090,13777,27054,21580,20758,23760,32407,23014,23008,23892,22427,27854,16920,22169,30335,32728,23728,8462,28863,28264,19498,14917,13695,8387,16639,12368,12984,11670,11004,13121,37973,27893,37706,25948,12445,13754,20359,21933,20107,43795,18701,15509,17771,14081,13436,23501,2192,32355,33445,8894,31334,23191,32723,35654,42874,23091,11548,35009,9445,9895,31083,27691,34755,5887,16290,10086,13006,19983,22918,10009,13827,15108,23464,14381,22692,20347,19694,23661,22778
5,21634,4424,5719,6147,6345,0,5494,4663,14781,3247,11186,10118,10272,9593,2627,10978,11150,15783,10653,16386,11063,10317,10470,12033,13043,14401,19530,16455,28305,22030,21668,21919,21225,7139,21688,11017,25653,20178,19356,22358,31006,21613,25035,22490,21025,26452,18415,20768,28934,31326,22326,8715,27461,26863,18097,13516,12293,6502,15237,10966,11583,10268,13032,11719,36571,26491,36304,24546,14472,12352,21348,20531,22133,42393,17299,14108,15135,11603,12036,22100,9783,30953,32043,7729,29932,21789,31321,34252,41472,21689,5104,33608,7561,8010,29682,26289,33353,7914,18317,8202,11103,18582,21516,8125,12425,13706,22063,16408,21291,18945,21720,22259,21376
6,22185,10017,11312,1302,1500,5494,0,1123,16378,10083,8308,10669,10823,6715,5444,12783,8273,17648,12562,18295,12971,11351,11505,13941,15401,16310,20082,17006,28856,19153,19333,22470,21776,4608,22239,12926,26204,20729,19907,22910,31557,22164,22159,23041,21577,27003,16070,21319,29485,31877,22877,7612,28012,27414,18648,14068,12844,7537,15788,11518,12134,10819,10154,12270,37123,27042,36855,25098,11595,12903,19508,21083,19256,42944,17851,14659,16920,13230,12587,22651,3691,31504,32595,8044,30483,22340,31872,34803,42023,22240,10697,34159,8595,9045,30233,26840,33904,5038,15439,9236,12907,19133,22068,9159,12976,14257,22614,13531,21842,19496,18843,22810,21927
7,21126,8958,10253,1775,1973,5016,1124,0,16798,9024,7249,9609,9764,5656,4385,13203,7213,16588,11501,17236,11911,10292,10445,12882,14342,15250,19021,15947,27796,18094,18274,21411,20716,5028,21180,11867,25145,19670,18847,21850,30497,21105,21099,21982,20517,25944,15010,20259,28425,30818,21818,6553,26953,26354,17588,13007,11785,6477,14728,10458,11075,9760,9095,11211,36063,25983,35795,24038,10536,11844,18449,20022,18196,41885,16791,13600,15861,12171,11527,21592,4165,30445,31535,6983,29424,21281,30813,33744,40964,21181,9638,33100,7535,7985,29173,25781,32845,3977,14380,8176,13327,18074,21008,8100,11916,13197,21555,12471,20782,18437,17783,21751,20868
8,37860,18558,19503,16671,16477,14781,16639,16798,0,19208,23982,26343,26497,22390,15907,13308,23947,31368,23932,29667,24343,23598,23751,25313,28628,27682,35756,32682,44530,38208,38389,39859,39653,12801,40117,24298,44080,36404,35582,38585,49434,40041,41214,40918,38886,42679,31745,36993,47362,49754,38552,23286,43688,45291,34322,29742,28519,19783,31462,27193,27808,26493,25829,27945,52798,42718,52529,40773,27269,28579,38564,36757,38311,58620,33525,30334,28292,27188,28261,38325,14533,49382,48270,23314,46158,40217,49749,52681,57699,39090,18888,49833,20840,21291,45907,44718,51782,20712,31114,21481,13184,34807,39945,21405,28651,29931,40491,29206,39719,35172,37898,40688,39805
9,23822,688,1982,13144,13342,3247,12492,11432,19208,0,17505,12306,12460,14479,5454,9844,17469,12785,13226,15394,13636,9844,9998,11718,10044,13409,21719,18644,30493,23999,23857,24108,23413,10385,23876,13206,27841,22366,21545,24547,33195,23801,27822,24679,23214,28641,20604,22956,31123,33514,24514,15376,29650,29051,20285,15705,14481,8691,17425,13156,13771,12456,19351,13907,38760,28680,38492,26735,20792,14541,23536,22720,23869,44581,19488,16296,12136,8605,14224,24288,15533,33142,34232,4731,32121,23977,33509,36440,43661,23877,1367,35796,8121,10199,31870,28477,35541,10701,21379,8877,9968,20770,23705,8800,14614,15894,24251,19194,23479,21134,24202,24447,23565
