id,name,latitude,longitude,demands,demands_day
0,TPA Belahan Tengah,-7.528720209,112.5410055,0,0
1,RSUD RA Basoeni,-7.456177414,112.3939989,10120,326.4516129
2,PG Gempol Kerep Kec. Gedeg,-7.456933719,112.383327,1500,48.38709677
3,"Pasar Pelabuhan, Desa Canggu",-7.422882438,112.4662356,8410,271.2903226
4,Griya Jetis Permai,-7.421466494,112.4672465,24170,779.6774194
5,Desa Terusan,-7.44439952,112.4247415,13340,430.3225806
6,"Perum Mojobaru, Kec. Jetis",-7.429407047,112.4647788,20172,650.7096774
7,"Perum Canggu Permai, Kec. Jetis",-7.435913307,112.4593406,30130,971.9354839
8,SMAN 1 Dawarblandong,-7.331287642,112.4215171,1900,61.29032258
9,SMAN 1 Gedeg,-7.454217422,112.3985382,2530,81.61290323
10,SMPN 2 Mojoanyar,-7.471778096,112.4812019,2820,90.96774194
11,UNIM Mojokerto,-7.493959168,112.4630789,300,9.677419355
12,Perum Bumi Jabon Estate,-7.497046495,112.4646693,9420,303.8709677
13,Ponpes Al-Mutazzam,-7.462452803,112.4716051,4350,140.3225806
14,PT  Karya Anugerah (Perum Kenongo),-7.452763574,112.4346328,4060,130.9677419
15,Klinik Kemlagi Medika,-7.396753509,112.3773411,5840,188.3870968
16,Perum Vista Residence,-7.471142336,112.4860693,2580,83.22580645
17,Wisata Religi Troloyo Trowulan,-7.526690936,112.4009726,10560,340.6451613
18,PT. Graha Pangan Sentosa,-7.514788826,112.428147,2340,75.48387097
19,"Hotel Sun Palace, Kec. Trowulan",-7.539223924,112.3906691,14680,473.5483871
20,PT. Sunrise Steel Sooko,-7.514863956,112.4274892,13870,447.4193548
21,SMAN 1 Sooko,-7.497460624,112.423043,100,3.225806452
22,"Perumahan Japan Asri, Kec. Sooko",-7.500015248,112.4285861,7390,238.3870968
23,"Perumahan Brangkal, Kec. Sooko",-7.520319632,112.4194688,3630,117.0967742
24,"Puskesmas Tawangsari, Kec. Trowulan",-7.506137736,112.3843165,3624,116.9032258
25,RS. Dian Husada,-7.528353927,112.410311,7310,235.8064516
26,PT. Motasa Indonesia,-7.524042617,112.5261305,13316,429.5483871
27,PT. Motasa Indonesia 2,-7.505758162,112.5163246,16156,521.1612903
